Get stem words,297,,
,250-270,,
Concat strings (e.g. trigram), ,,
,,,
Replace swear words, ,,
,,,
Fix typo/contractions,297,287,
,167-172,94-97,
Image Augmentation (Include flip/oneof/brightness/saturation),351,291,258
,190-220,114-172,291-301
Add features (len/capitals ratio/unique ratio), ,,
,,,
Mask, ,,
,,,
Undersample, ,,
,,,
Add tokens to beginning/end, ,,
,,,
Round Data, ,,
,,,
Introduce new features based on existing features, ,,
,,,
Images to rle, ,,
,,,
Filter Stopwords, ,,
,,,
Include Var Rank, ,,
,,,
Create model to generate meta data, ,,
,,,
Remove Outliers, ,,
,,,
Colorspace transformation, ,,
,,,
Data Smoothing based on mean, ,,
,,,
Add one-hot feature, ,,
,,,
Liemmatize verbs,253,,
,159,,
Data Aggregation (Include Mean/Avg/Max/Min/Med/Sum),359,,
,145-167,,
OverSampling, ,,
,,,
Text encoding, ,,
,,,
Cosine similarity/dissimilarity, ,,
