Remove HTML tags, ,,
,,,
Spelling Correction, ,,
,,,
Cutout, ,,
,,,
Remove Emoji,245,239,
,57-64,277-291,
Remove Constant Features, ,,
,,,
Central/Random Crop, ,,
,,,
Drop Sparse Data, ,,
,,,
Filter non-string words, ,,
,,,
Convert Image Size, ,,
,,,
Drop unrelated features,,,
,,,
Break down timestamp data, ,,
,,,
Fill missing data, ,,
,,,
Remove Punctuations,245,239,248
,73-80,557-568,263
Remove Duplicate Columns/Data, ,,
,,,
Text Tokenization,242,247,
,153-160,141-145,
Text Paddings ,242,247,
,161-171,148,
Convert to lowercase ,245,248,
,65-71,375,
remove numbers,245,239,248
,82-90,526-537,337-347
remove urls,247,239,
,105,189-256,
remove hashtags,239,,
,408-417,,
